ID,date,milligrams
61,2023/03/21,4532.9
62,2023/03/21,4269.0
63,2023/03/21,6181.1
64,2023/03/21,3543.6
65,2023/03/21,4753.0
68,2023/03/21,4351.1
69,2023/03/21,4199.1
73,2023/03/21,2579.0
74,2023/03/21,4182.2
76,2023/03/21,2756.4
78,2023/03/21,3077.5
82,2023/03/21,2520.4
85,2023/03/21,4115.5
86,2023/03/21,3471.3
87,2023/03/21,3413.5
88,2023/03/21,5546.5
90,2023/03/21,4676.2
92,2023/03/21,3988.6
93,2023/03/21,5600.6
94,2023/03/21,5190.6
95,2023/03/21,3691.0
96,2023/03/21,4481.4
97,2023/03/21,5282.2
98,2023/03/21,4227.3
99,2023/03/21,4433.5
101,2023/03/21,2465.1
103,2023/03/21,2278.0
105,2023/03/21,3330.4
106,2023/03/21,4298.5
108,2023/03/21,2421.7
111,2023/03/21,3890.2
112,2023/03/21,2440.7
113,2023/03/21,1636.7
114,2023/03/21,4344.5
115,2023/03/21,5086.7
1,2023/03/27,2634.5
3,2023/03/27,5254.1
5,2023/03/27,4273.2
7,2023/03/27,3941.9
8,2023/03/27,1923.1
9,2023/03/27,2984.2
10,2023/03/27,1935.0
12,2023/03/27,3057.0
14,2023/03/27,3340.8
21,2023/03/27,4515.9
22,2023/03/27,2772.9
23,2023/03/27,4018.5
24,2023/03/27,3705.2
26,2023/03/27,1691.1
29,2023/03/27,2688.8
30,2023/03/27,3435.6
35,2023/03/27,4390.6
36,2023/03/27,4029.4
37,2023/03/27,2697.8
38,2023/03/27,2754.8
50,2023/03/27,2916.2
52,2023/03/27,4231.3
53,2023/03/27,3231.5
54,2023/03/27,3909.0
55,2023/03/27,5143.4
56,2023/03/27,2886.5
57,2023/03/27,3140.9
60,2023/03/27,3512.7
61,2023/03/27,4298.8
62,2023/03/27,3417.5
63,2023/03/27,4776.5
68,2023/03/27,3498.7
73,2023/03/27,2052.9
82,2023/03/27,2193.5
85,2023/03/27,3662.9
86,2023/03/27,3358.5
87,2023/03/27,3225.3
88,2023/03/27,4764.2
90,2023/03/27,3703.4
93,2023/03/27,4685.3
94,2023/03/27,4639.1
95,2023/03/27,2846.4
96,2023/03/27,3935.5
97,2023/03/27,4354.4
98,2023/03/27,4025.4
99,2023/03/27,4142.5
103,2023/03/27,1853.9
105,2023/03/27,3019.7
106,2023/03/27,4300.7
114,2023/03/27,3410.1
115,2023/03/27,4182.8
1,2023/04/03,2251.0
3,2023/04/03,4913.6
5,2023/04/03,3998.9
9,2023/04/03,2577.5
21,2023/04/03,4530.1
23,2023/04/03,3466.3
26,2023/04/03,1642.2
29,2023/04/03,2405.6
35,2023/04/03,4203.6
36,2023/04/03,3753.8
37,2023/04/03,2476.4
