,ID,date,obs
386,42,2023-03-03,F
387,43,2023-03-03,F
388,44,2023-03-03,F
389,45,2023-03-03,F
390,46,2023-03-03,F
391,47,2023-03-03,F
392,48,2023-03-03,F
393,49,2023-03-03,N
394,50,2023-03-03,F
395,51,2023-03-03,F
396,52,2023-03-03,F
397,53,2023-03-03,F
398,54,2023-03-03,F
399,55,2023-03-03,F
400,56,2023-03-03,F
401,57,2023-03-03,F
402,58,2023-03-03,F
403,59,2023-03-03,N
404,60,2023-03-03,F
405,61,2023-03-03,F
406,62,2023-03-03,F
407,63,2023-03-03,F
408,64,2023-03-03,F
409,65,2023-03-03,F
410,66,2023-03-03,N
411,67,2023-03-03,F
412,68,2023-03-03,F
413,69,2023-03-03,F
414,70,2023-03-03,N
415,71,2023-03-03,F
416,72,2023-03-03,N
417,73,2023-03-03,F
418,74,2023-03-03,F
419,75,2023-03-03,F
420,76,2023-03-03,F
421,77,2023-03-03,N
422,78,2023-03-03,F
423,79,2023-03-03,F
424,80,2023-03-03,F
425,81,2023-03-03,N
426,82,2023-03-03,F
427,83,2023-03-03,F
428,84,2023-03-03,F
429,85,2023-03-03,F
430,86,2023-03-03,F
431,87,2023-03-03,F
432,88,2023-03-03,F
433,89,2023-03-03,N
434,90,2023-03-03,F
435,91,2023-03-03,ND
436,92,2023-03-03,N
437,93,2023-03-03,F
438,94,2023-03-03,F
439,95,2023-03-03,F
440,96,2023-03-03,F
441,97,2023-03-03,M
442,98,2023-03-03,F
443,99,2023-03-03,F
444,100,2023-03-03,F
445,101,2023-03-03,F
446,102,2023-03-03,N
447,103,2023-03-03,F
448,104,2023-03-03,F
449,105,2023-03-03,F
450,106,2023-03-03,F
451,107,2023-03-03,ND
452,108,2023-03-03,F
453,109,2023-03-03,N
454,110,2023-03-03,-
455,111,2023-03-03,F
456,112,2023-03-03,F
457,113,2023-03-03,F
458,114,2023-03-03,F
459,115,2023-03-03,F
460,1,2023-03-04,
461,2,2023-03-04,
462,3,2023-03-04,
463,4,2023-03-04,
464,5,2023-03-04,
465,6,2023-03-04,
466,7,2023-03-04,
467,8,2023-03-04,
468,9,2023-03-04,
469,10,2023-03-04,
470,11,2023-03-04,
471,12,2023-03-04,
472,13,2023-03-04,
473,14,2023-03-04,
474,15,2023-03-04,
475,16,2023-03-04,
476,17,2023-03-04,
477,18,2023-03-04,
478,19,2023-03-04,
479,20,2023-03-04,
480,21,2023-03-04,
481,22,2023-03-04,
482,23,2023-03-04,
483,24,2023-03-04,
484,25,2023-03-04,
485,26,2023-03-04,
486,27,2023-03-04,
487,28,2023-03-04,
488,29,2023-03-04,N
489,30,2023-03-04,F
490,31,2023-03-04,N
491,32,2023-03-04,N
492,33,2023-03-04,N
493,34,2023-03-04,N
494,35,2023-03-04,N
495,36,2023-03-04,F
496,37,2023-03-04,F
497,38,2023-03-04,N
498,39,2023-03-04,N
499,40,2023-03-04,F
500,41,2023-03-04,F
501,42,2023-03-04,N
502,43,2023-03-04,F
503,44,2023-03-04,N
504,45,2023-03-04,N
505,46,2023-03-04,N
506,47,2023-03-04,F
507,48,2023-03-04,F
508,49,2023-03-04,N
509,50,2023-03-04,F
510,51,2023-03-04,F
511,52,2023-03-04,F
512,53,2023-03-04,F
513,54,2023-03-04,N
514,55,2023-03-04,F
515,56,2023-03-04,F
516,57,2023-03-04,F
517,58,2023-03-04,M
518,59,2023-03-04,N
519,60,2023-03-04,F
520,61,2023-03-04,F
521,62,2023-03-04,F
522,63,2023-03-04,F
523,64,2023-03-04,F
524,65,2023-03-04,F
525,66,2023-03-04,N
526,67,2023-03-04,F
527,68,2023-03-04,F
528,69,2023-03-04,F
529,70,2023-03-04,N
530,71,2023-03-04,F
531,72,2023-03-04,N
532,73,2023-03-04,F
533,74,2023-03-04,F
534,75,2023-03-04,F
535,76,2023-03-04,F
536,77,2023-03-04,N
537,78,2023-03-04,F
538,79,2023-03-04,F
539,80,2023-03-04,M
540,81,2023-03-04,M
541,82,2023-03-04,F
542,83,2023-03-04,F
543,84,2023-03-04,M
544,85,2023-03-04,F
545,86,2023-03-04,F
546,87,2023-03-04,N
547,88,2023-03-04,N
548,89,2023-03-04,ND
549,90,2023-03-04,N
550,91,2023-03-04,-
551,92,2023-03-04,N
552,93,2023-03-04,N
553,94,2023-03-04,F
554,95,2023-03-04,F
555,96,2023-03-04,N
556,97,2023-03-04,-
557,98,2023-03-04,N
558,99,2023-03-04,N
559,100,2023-03-04,N
560,101,2023-03-04,N
561,102,2023-03-04,ND
562,103,2023-03-04,F
563,104,2023-03-04,F
564,105,2023-03-04,N
565,106,2023-03-04,N
566,107,2023-03-04,-
567,108,2023-03-04,N
568,109,2023-03-04,N
569,110,2023-03-04,-
570,111,2023-03-04,N
571,112,2023-03-04,F
572,113,2023-03-04,F
573,114,2023-03-04,N
574,115,2023-03-04,N
575,1,2023-03-05,N
576,2,2023-03-05,N
577,3,2023-03-05,N
578,4,2023-03-05,N
579,5,2023-03-05,F
580,6,2023-03-05,N
581,7,2023-03-05,N
582,8,2023-03-05,N
583,9,2023-03-05,N
584,10,2023-03-05,N
585,11,2023-03-05,F
586,12,2023-03-05,N
587,13,2023-03-05,N
588,14,2023-03-05,N
589,15,2023-03-05,N
590,16,2023-03-05,N
591,17,2023-03-05,N
592,18,2023-03-05,N
593,19,2023-03-05,N
594,20,2023-03-05,F
595,21,2023-03-05,N
596,22,2023-03-05,N
597,23,2023-03-05,N
598,24,2023-03-05,N
599,25,2023-03-05,N
600,26,2023-03-05,N
601,27,2023-03-05,N
602,28,2023-03-05,N
603,29,2023-03-05,
604,30,2023-03-05,
605,31,2023-03-05,
606,32,2023-03-05,
607,33,2023-03-05,
608,34,2023-03-05,
609,35,2023-03-05,
610,36,2023-03-05,
611,37,2023-03-05,
612,38,2023-03-05,
613,39,2023-03-05,
614,40,2023-03-05,
615,41,2023-03-05,
616,42,2023-03-05,
617,43,2023-03-05,
618,44,2023-03-05,
619,45,2023-03-05,
620,46,2023-03-05,
621,47,2023-03-05,
622,48,2023-03-05,
623,49,2023-03-05,
624,50,2023-03-05,
625,51,2023-03-05,
626,52,2023-03-05,
627,53,2023-03-05,
628,54,2023-03-05,
629,55,2023-03-05,
630,56,2023-03-05,
631,57,2023-03-05,
632,58,2023-03-05,-
633,59,2023-03-05,N
634,60,2023-03-05,F
635,61,2023-03-05,N
636,62,2023-03-05,N
637,63,2023-03-05,N
638,64,2023-03-05,N
639,65,2023-03-05,F
640,66,2023-03-05,N
641,67,2023-03-05,F
642,68,2023-03-05,F
643,69,2023-03-05,N
644,70,2023-03-05,N
645,71,2023-03-05,F
646,72,2023-03-05,N
647,73,2023-03-05,N
648,74,2023-03-05,N
649,75,2023-03-05,N
650,76,2023-03-05,F
651,77,2023-03-05,N
652,78,2023-03-05,N
653,79,2023-03-05,N
654,80,2023-03-05,-
655,81,2023-03-05,-
656,82,2023-03-05,F
657,83,2023-03-05,N
658,84,2023-03-05,-
659,85,2023-03-05,N
660,86,2023-03-05,N
661,87,2023-03-05,N
662,88,2023-03-05,N
663,89,2023-03-05,-
664,90,2023-03-05,F
665,91,2023-03-05,-
666,92,2023-03-05,N
667,93,2023-03-05,N
668,94,2023-03-05,N
669,95,2023-03-05,F
670,96,2023-03-05,N
671,97,2023-03-05,-
672,98,2023-03-05,N
673,99,2023-03-05,F
674,100,2023-03-05,N
675,101,2023-03-05,F
676,102,2023-03-05,-
677,103,2023-03-05,N
678,104,2023-03-05,M
679,105,2023-03-05,N
680,106,2023-03-05,N
681,107,2023-03-05,-
682,108,2023-03-05,N
683,109,2023-03-05,N
684,110,2023-03-05,-
685,111,2023-03-05,N
686,112,2023-03-05,N
687,113,2023-03-05,N
688,114,2023-03-05,F
689,115,2023-03-05,N
690,1,2023-03-06,F
691,2,2023-03-06,N
692,3,2023-03-06,N
693,4,2023-03-06,N
694,5,2023-03-06,N
695,6,2023-03-06,N
696,7,2023-03-06,N
697,8,2023-03-06,F
698,9,2023-03-06,N
699,10,2023-03-06,N
700,11,2023-03-06,F
701,12,2023-03-06,F
702,13,2023-03-06,N
703,14,2023-03-06,N
704,15,2023-03-06,N
